,Company name,Symbol,Stock price (USD),Sector,Industry,Market
774,Southern Company,SO,$62.54,Utilities,Electric Utilities,NYSE
775,SoFi Technologies,SOFI,$20.34,Finance,Finance/Rental/Leasing,NASDAQ
776,Sonos,SONO,$31.63,Electronic Technology,Electronic Production Equipment,NASDAQ
777,Sony,SONY,$110.75,Consumer Durables,Electronics/Appliances,NYSE
778,Virgin Galactic,SPCE,$19.37,Electronic Technology,Aerospace & Defense,NYSE
779,Simon Property,SPG,$142.90,Finance,Real Estate Investment Trusts,NYSE
780,S&P,SPGI,$444.58,Commercial Services,Financial Publishing/Services,NYSE
781,Splunk,SPLK,$164.40,Technology Services,Information Technology Services,NASDAQ
782,Spotify,SPOT,$247.71,Technology Services,Internet Software/Services,NYSE
783,SunPower,SPWR,$27.95,Producer Manufacturing,Electrical Products,NASDAQ
784,Square,SQ,$248.76,Technology Services,Information Technology Services,NYSE
785,Chemical & Mining Co. of Chile,SQM,$54.56,Process Industries,Chemicals: Agricultural,NYSE
786,Squarespace,SQSP,$38.52,Technology Services,Information Technology Services,NYSE
787,Sempra Energy,SRE,$127.93,Utilities,Gas Distributors,NYSE
788,SS&C Technologies Holdings,SSNC,$72.64,Technology Services,Information Technology Services,NASDAQ
789,Sutter Rock Capital,SSSS,$13.19,Finance,Investment Managers,NASDAQ
790,Stellantis,STLA,$19.60,Consumer Durables,Motor Vehicles,NYSE
791,Steel Dynamics,STLD,$61.48,Non-Energy Minerals,Steel,NASDAQ
792,StoneCo,STNE,$36.65,Technology Services,Packaged Software,NASDAQ
793,STORE Capital Corporation,STOR,$34.25,Finance,Real Estate Investment Trusts,NYSE
794,State Street,STT,$95.40,Finance,Regional Banks,NYSE
795,Seagate Technology,STX,$81.95,Electronic Technology,Computer Peripherals,NASDAQ
796,Constellation Brands,STZ,$217.63,Consumer Non-Durables,Beverages: Alcoholic,NYSE
797,Suncor Energy,SU,$23.79,Energy Minerals,Integrated Oil,NYSE
798,Sumo Logic Inc,SUMO,$17.18,Technology Services,Packaged Software,NASDAQ
799,Grupo Supervielle,SUPV,$2.35,Finance,Major Banks,NYSE
800,Stanley Black & Decker,SWK,$181.77,Consumer Durables,Tools & Hardware,NYSE
801,Skyworks Solutions,SWKS,$159.47,Electronic Technology,Semiconductors,NASDAQ
802,Southwestern Energy,SWN,$5.07,Energy Minerals,Oil & Gas Production,NYSE
803,Synchrony Financial,SYF,$50.94,Finance,Finance/Rental/Leasing,NYSE
804,Stryker,SYK,$262.10,Health Technology,Medical Specialties,NYSE
805,Sysco,SYY,$81.47,Distribution Services,Food Distributors,NYSE
806,AT&T,T,$25.52,Communications,Major Telecommunications,NYSE
807,Takeda Pharmaceutical,TAK,$13.97,Health Technology,Pharmaceuticals: Major,NYSE
808,Tal Education Group,TAL,$4.65,Consumer Services,Other Consumer Services,NYSE
809,Talkspace,TALK,$3.59,Technology Services,Internet Software/Services,NASDAQ
810,Trip.com,TCOM,$31.64,Consumer Services,Other Consumer Services,NASDAQ
811,Toronto-Dominion Bank,TD,$70.41,Finance,Major Banks,NYSE
812,Teladoc,TDOC,$135.75,Health Services,Hospital/Nursing Management,NYSE
813,Atlassian Corporation Plc,TEAM,$407.76,Technology Services,Packaged Software,NASDAQ
